href,menu
/ho-chi-minh/xoi-chien-nha-sushi,Chè khúc bạch thập cẩm 
/ho-chi-minh/xoi-chien-nha-sushi,Me thái ngâm
/ho-chi-minh/xoi-chien-nha-sushi,Chè khúc bạch cacao 
/ho-chi-minh/banh-trang-tron-chu-vien,Bánh tráng trộn
/ho-chi-minh/banh-trang-tron-chu-vien,Bánh tráng trộn đặc biệt
/ho-chi-minh/banh-trang-tron-chu-vien,Bánh tráng trộn lớn
/ho-chi-minh/banh-trang-tron-chu-vien,Gỏi xoài
/ho-chi-minh/banh-trang-tron-chu-vien,Bánh khô đặc biệt
/ho-chi-minh/banh-trang-tron-chu-vien,Bánh khô thường
/ho-chi-minh/banh-trang-tron-chu-vien,Trứng thêm
/ho-chi-minh/banh-trang-tron-chu-vien,Khô mực sợi
/ho-chi-minh/banh-trang-tron-chu-vien,Khô bò
/ho-chi-minh/banh-trang-tron-chu-vien,Xoài thêm
/ho-chi-minh/banh-trang-tron-chu-vien,Satế
/ho-chi-minh/banh-trang-tron-chu-vien,Cơm cháy chà bông
/ho-chi-minh/banh-trang-tron-chu-vien,Da heo tỏi ớt
/ho-chi-minh/banh-trang-tron-chu-vien,Rong biển cháy tỏi
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi thập cẩm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi trộn Bùi Thị Xuân
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi gà xé chà bông
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi phá lấu
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi xá xíu
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi chả lụa và thịt heo khìa
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi gấc
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi lá cẩm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi tôm khô
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi gà miếng
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,xôi chả lụa thịt heo khìa hộp lớn
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi cánh gà
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi Đùi gà lớn
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xôi lap xưởng trứng muối
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,xôi đùi
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,xôi gà xé
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,xôi thập cẩm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,xôi chả lụa và thịt heo khìa
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Bánh lọt nước dừa
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè đậu đỏ
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè hạt sen
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè củ sen củ năng
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Đậu trắng nếp
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Sương sáo hạt é
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Dừa Dầm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè bắp
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè khoai môn
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Sương sáo
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè trôi nước
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Đâu xanh đánh
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Nhãn nhục
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè hạt sen nhãn nhục
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè thạch
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chè sen nhãn nhuc
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Trái Vải
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Thạch dừa
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,cocktail
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Nhãn nhục trái vải
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè táo soạn
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè củ năng củ sen
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè hạt sen nhãn nhục
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè hạt sen
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,sương sáo
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,nhãn nhục
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,chè đậu đỏ
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Phá Lấu thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Đồ chua thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Đùi gà thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Xá xíu thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Cánh gà thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Tôm khô thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,lap xưởng trứng muối thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Gà miếng thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Đùi gà thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Nước cốt dừa thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Hạt lựu thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Trái vải thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Củ Năng Thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Hạt lựu thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Trái vải thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Củ Năng Thêm
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Tắc ép
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Trái dừa nước
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,Chanh dây
/ho-chi-minh/xoi-che-bui-thi-xuan-bui-thi-xuan,nước suối
/ho-chi-minh/banh-mi-pew-pew,Khô gà lá chanh
/ho-chi-minh/banh-mi-pew-pew,Khô gà bơ tỏi
/ho-chi-minh/banh-mi-pew-pew,Bò kho
/ho-chi-minh/banh-mi-pew-pew,Bánh mì thêm
/ho-chi-minh/banh-mi-pew-pew,Cari gà
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Bò Tiêu Đen
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Thập Cẩm
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Gà Nướng Mật Ong
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Truyền thống
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Heo Quay
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Trứng
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Gà Sốt Nhật
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Xá Xíu
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Chả Cá
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Nem Nướng
/ho-chi-minh/banh-mi-pew-pew,Bánh mì chấm cafe sữa
